,,,,,,,,,,Drop Ship Coordinator Contact Info,,,,
360,MONTGOMERY,350-AL-MS,Plant,Yes,EY10814,6701 WINTON BLOUNT BLVD,MONTGOMERY,AL,361199998,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
373,CHATTANOOGA,370-TENNESSEE,Plant,Yes,EX25002,6050 SHALLOWFORD RD,CHATTANOOGA,TN,374219997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
377,KNOXVILLE,370-TENNESSEE,Plant,Yes,EX25384,1237 E WEISGARBER RD,KNOXVILLE,TN,379508505,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
380,MEMPHIS,370-TENNESSEE,Plant,Yes,EX25496,555 S B B KING BLVD LBBY,MEMPHIS,TN,381017500,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
370,NASHVILLE,370-TENNESSEE,Plant,Yes,EX25565,525 ROYAL PKWY,NASHVILLE,TN,372299997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
707,BATON ROUGE,700-LOUISIANA,Plant,Yes,EY23369,8101 BLUEBONNET BLVD,BATON ROUGE,LA,708109998,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
700,NEW ORLEANS,700-LOUISIANA,Plant,Yes,EY24218,701 LOYOLA AVE,NEW ORLEANS,LA,701139997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
710,SHREVEPORT,700-LOUISIANA,Plant,Yes,EY24453,2400 TEXAS AVE,SHREVEPORT,LA,711029991,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
720,LITTLE ROCK,730-AR-OK,Plant,Yes,EY20708,4700 E MCCAIN BLVD,LITTLE ROCK,AR,722319998,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
727,NORTHWEST ARKANSAS,730-AR-OK,Plant,Yes,EY20402,2300 S CITY LAKE RD,FAYETTEVILLE,AR,727019997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
730,OKLAHOMA CITY,730-AR-OK,Plant,Yes,E011036,4025 W RENO AVE,OKLAHOMA CITY,OK,731259403,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
740,TULSA,730-AR-OK,Plant,Yes,EW22564,2132 S 91ST EAST AVE,TULSA,OK,741419997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
752,DALLAS,752-TEXAS 1,Plant,Yes,EW23426,401 TOM LANDRY HWY,DALLAS,TX,752609997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
750,NORTH TEXAS,752-TEXAS 1,Plant,Yes,EW23331,951 W BETHEL RD,COPPELL,TX,750998888,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
776,BEAUMONT,770-TEXAS 2,Plant,Yes,EW22885,5815 WALDEN RD,BEAUMONT,TX,777079995,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
783,CORPUS CHRISTI,770-TEXAS 2,Plant,Yes,EW23343,809 NUECES BAY BLVD,CORPUS CHRISTI,TX,784699997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
785,MCALLEN,770-TEXAS 2,Plant,Yes,EW24660,620 E PECAN BLVD,MCALLEN,TX,785019997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
795,ABILENE,780-TEXAS 3,Plant,Yes,EW22666,1020 E OVERLAND TRL,ABILENE,TX,796019997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
790,AMARILLO,780-TEXAS 3,Plant,Yes,EW22730,2301 ROSS ST,AMARILLO,TX,791209732,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
786,AUSTIN,780-TEXAS 3,Plant,Yes,EW22814,8225 CROSS PARK DR,AUSTIN,TX,787109997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
798,EL PASO,780-TEXAS 3,Plant,Yes,EW23623,8401 BOEING DR,EL PASO,TX,799109997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
793,LUBBOCK,780-TEXAS 3,Plant,Yes,EW24557,1515 CRICKETS AVE,LUBBOCK,TX,794029998,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
797,MIDLAND,780-TEXAS 3,Plant,Yes,EW24719,10000 LOOP 40,MIDLAND,TX,797119997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
780,SAN ANTONIO,780-TEXAS 3,Plant,Yes,EW26439,10410 PERRIN BEITEL RD,SAN ANTONIO,TX,782849991,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
