,,,,,,,,,,Drop Ship Coordinator Contact Info,,,,
481,DETROIT,481-MICHIGAN 1,Plant,Yes,EY11740,1401 W FORT ST RM 1022,DETROIT,MI,482339997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
480,MICHIGAN METROPLEX,481-MICHIGAN 1,Plant,Yes,E010600,711 N GLENWOOD AVE,PONTIAC,MI,483409991,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
495AX,GRAND RAPIDS ANNEX P1,493-MICHIGAN 2,Annex,Yes,E002101,3500 PATTERSON AVE SE STE A,GRAND RAPIDS,MI,495125699,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
496,TRAVERSE CITY,493-MICHIGAN 2,Plant,Yes,EY12982,1801 GARFIELD RD N,TRAVERSE CITY,MI,496969997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
522,CEDAR RAPIDS,500-IA-NE-SD,Plant,Yes,EW10239,615 6TH AVE SE,CEDAR RAPIDS,IA,524019997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
500,DES MOINES,500-IA-NE-SD,Plant,Yes,EW10400,1165 2ND AVE,DES MOINES,IA,503189997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
691,NORTH PLATTE,500-IA-NE-SD,Plant,Yes,EW1A071,1302 INDUSTRIAL AVE,NORTH PLATTE,NE,691019921,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
680,OMAHA,500-IA-NE-SD,Plant,Yes,EW1A092,1124 PACIFIC ST RM 212,OMAHA,NE,681089997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
577,RAPID CITY,500-IA-NE-SD,Plant,Yes,EW1B046,500 EAST BLVD,RAPID CITY,SD,577019909,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
570,SIOUX FALLS,500-IA-NE-SD,Plant,Yes,EW1B107,4801 N 4TH AVE,SIOUX FALLS,SD,571049300,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
506,WATERLOO,500-IA-NE-SD,Plant,Yes,EW11692,300 SYCAMORE ST,WATERLOO,IA,507014649,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
547,EAU CLAIRE,530-WISCONSIN,Plant,Yes,EY17229,3510 HOGARTH ST,EAU CLAIRE,WI,547039997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
541,GREEN BAY,530-WISCONSIN,Plant,Yes,EY17374,300 PACKERLAND DR,GREEN BAY,WI,543039996,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
535,MADISON,530-WISCONSIN,Plant,Yes,EY17610,3902 MILWAUKEE ST,MADISON,WI,537143000,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
530,MILWAUKEE,530-WISCONSIN,Plant,Yes,EY17679,345 W SAINT PAUL AVE,MILWAUKEE,WI,532033017,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
585,BISMARCK,553-MN-ND,Plant,Yes,EW18762,2220 E BISMARCK EXPY RM 212,BISMARCK,ND,585049990,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
556,DULUTH,553-MN-ND,Plant,Yes,EY25161,2800 W MICHIGAN ST,DULUTH,MN,558069998,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
580,FARGO,553-MN-ND,Plant,Yes,EW18901,657 2ND AVE N RM 104,FARGO,ND,581024768,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
582,GRAND FORKS,553-MN-ND,Plant,Yes,EW18966,2501 28TH AVE S,GRAND FORKS,ND,582019997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
560,MANKATO,553-MN-ND,Plant,Yes,EY25758,851 SUMMIT AVE,MANKATO,MN,560019997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
550,SAINT PAUL,553-MN-ND,Plant,Yes,E013150,3232 DENMARK AVE,SAINT PAUL,MN,551211366,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
563,WAITE PARK,553-MN-ND,Plant,Yes,EY26241,517 10TH AVE S,WAITE PARK,MN,563871519,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
605,FOX VALLEY,604-ILLINOIS 2,Plant,Yes,EW13018,3900 GABRIELLE LN,FOX VALLEY,IL,605999701,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
612,QUAD CITIES,604-ILLINOIS 2,Plant,Yes,EW14651,7700 68TH ST,MILAN,IL,612649997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
604,SOUTH SUBURBAN,604-ILLINOIS 2,Plant,Yes,EW12009,6801 W 73RD ST,BEDFORD PARK,IL,604999997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
601,CAROL STREAM,606-ILLINOIS 1,Plant,Yes,EW12295,500 FULLERTON AVE,CAROL STREAM,IL,601999997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
606,CHICAGO,606-ILLINOIS 1,Plant,Yes,EW12399,433 W HARRISON ST STE 3012A,CHICAGO,IL,606999997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
60ISC,JT WEEKER ISC,606-ILLINOIS 1,Plant,Yes,E013397,11600 W IRVING PARK RD,CHICAGO,IL,606889998,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
600,PALATINE,606-ILLINOIS 1,Plant,Yes,EW14362,1300 E NORTHWEST HWY,PALATINE,IL,600959987,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
640,KANSAS CITY,630-KS-MO,Plant,Yes,EW1B651,1700 CLEVELAND AVE,KANSAS CITY,MO,641219997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
66Z,KANSAS CITY NDC,630-KS-MO,NDC,Yes,KW20787,4900 SPEAKER RD,KANSAS CITY,KS,661061093,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
650,MID MISSOURI,630-KS-MO,Plant,Yes,EW17241,11450 S AIRPORT DR,COLUMBIA,MO,652999997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
630,SAINT LOUIS,630-KS-MO,Plant,Yes,EW17797,1720 MARKET ST RM 3025,SAINT LOUIS,MO,631559997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
656,SPRINGFIELD,630-KS-MO,Plant,Yes,EW17988,500 W CHESTNUT EXPY,SPRINGFIELD,MO,658019997,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
670,WICHITA,630-KS-MO,Plant,Yes,EW21758,7117 W HARRY ST,WICHITA,KS,672769949,FAST HelpDesk,1-877-569-6614,fast@usps.com,1-877-569-6614 Option #3,Yes
